firstName,lastName,schoolName,imageUrl,playerUrl
Marquis,Bates,Iowa Lakes Community College,https://iowalakesathletics.com/images/setup/headshot_default.jpg?max_width=600&max_height=800,https://iowalakesathletics.com/sports/wrest/2025-26/bios/bates_marquis_gju4
Ashlyn,Kahre,Guilford College,https://guilfordquakers.com/images/2025/8/18/WSOC25_KAHRE_ASHLYN.jpg?width=300,https://guilfordquakers.com/sports/womens-soccer/roster/ashlyn-kahre/17446
Allie,Mouch,Ohio University,https://ohiobobcats.com/images/2025/8/5/Mouch_Allie.jpg?width=300,https://ohiobobcats.com/sports/wsoc/roster/allie-mouch/5657
Amoryan,Ferguson,Concord University,https://cumountainlions.com/images/2025/8/29/White___Resized_Amoryan_Ferguson.jpg?width=300,https://cumountainlions.com/sports/football/roster/amoryan-ferguson/9607
Deverious,Abercrombie,Presbyterian College,https://gobluehose.com/images/2025/8/20/Abercrombie_XnATp.png?width=146,https://gobluehose.com/sports/football/roster/deverious-abercrombie/7607
Joseph,Hasan,Albany State University (Georgia),https://asugoldenrams.com/images/2025/8/27/Joseph_Hasan.JPG?width=146,https://asugoldenrams.com/sports/football/roster/joseph-hasan/4293
Ty,Long,Rose-Hulman Institute of Technology,https://athletics.rose-hulman.edu/images/2025/8/18/MSoc_Ty_Long_2025_621kv.jpg?width=300,https://athletics.rose-hulman.edu/sports/mens-soccer/roster/ty-long/16229
Addison,Laughlin,Coastal Carolina University,https://goccusports.com/images/2025/8/19/LAUGHLIN_ADDY.jpg?width=300,https://goccusports.com/sports/track-and-field/roster/addison-laughlin/20884
Brady,Beko,Southern Alberta Institute of Technology,https://www.saittrojans.com/sports/mvball/54884591834_35266716e3_k.jpg?max_width=510&max_height=600,https://www.saittrojans.com/sports/mvball/2025-26/bios/beko_brady_snhw
Kayden,Chick,Ottawa University Arizona,https://ouazspirit.com/images/2025/9/22/Chick_Kayden.png?width=146,https://ouazspirit.com/sports/track-and-field/roster/kayden-chick/6570
Dylan,DePriest,LaGrange College,https://lagrangepanthers.com/images/2025/8/28/Boys_Soccer_Cropped-13.jpg?width=300,https://lagrangepanthers.com/sports/mens-soccer/roster/dylan-depriest/6307
Dalton,Hall,West Virginia State University,https://wvsuyellowjackets.com/images/2025/9/3/FB25-65-Hall.jpg?width=300,https://wvsuyellowjackets.com/sports/football/roster/dalton-hall/4467
Gehrig,Slunaker,Georgetown College,https://georgetowncollege.prestosports.com/sports/fball/2025-26/photos/0001/Slunaker-_Gehrig_2526_ad_hoc.jpg?max_width=510&max_height=600,https://georgetowncollege.prestosports.com/sports/fball/2025-26/bios/slunaker_gehrig_uy8j
Krista,Mazariegos,Central Connecticut State University,https://ccsubluedevils.com/sports/wlax/2024-25/photos/0001/Mazariegos_Krista_DS9_7836_copy.jpg?max_width=510&max_height=600,https://ccsubluedevils.com/sports/wlax/2024-25/bios/mazariegos_krista_2j7s
Drew,Rankin,Wayne State University (Michigan),https://wsuathletics.com/images/2025/6/26/Headshot_FB_Rankin_Drew_25-Cropped.jpg?width=146,https://wsuathletics.com/sports/football/roster/drew-rankin/13564
Hailey,Brown,Big Bend Community College,https://bbccvikings.com/sports/wwrest/2025-26/photos/0001/DSC02899-1-.jpg?max_width=510&max_height=600,https://bbccvikings.com/sports/wwrest/2025-26/bios/brown_hailey_rl73
Jordan,Williams,Lycoming College,https://lycomingathletics.com/images/2025/9/2/2025_fb_headshots_edited_williams_200_9690.jpg?width=300,https://lycomingathletics.com/sports/football/roster/jordan-williams/23714
Natalie,Ziebell,Lakeland University,https://lakelandmuskies.com/images/2024/10/17/Ziebell.jpg?width=300,https://lakelandmuskies.com/sports/softball/roster/natalie-ziebell/11063
Brenden,Aenis,Calvin University,https://calvinknights.com/images/2025/8/15/Aenis__Bendan.jpg?width=300,https://calvinknights.com/sports/football/roster/brenden-aenis/7124
Cavon,Reid,University of North Carolina at Pembroke,https://uncpbraves.com/images/2025/8/12/Reid_Cavon.jpg?width=300,https://uncpbraves.com/sports/football/roster/cavon-reid/14083
Tyquan,Harney,Elon University,https://elonphoenix.com/images/2024/8/24/84_TyQuan_Harney_WEB.jpg?width=146,https://elonphoenix.com/sports/football/roster/tyquan-harney/10810
Thomas,Perez,Temple College (TX),https://tcleopards.com/sports/bsb/2024-25/bios/54286014173_65098dde13_o.jpg?max_width=600&max_height=800,https://tcleopards.com/sports/bsb/2025-26/bios/perez_thomas_wbnk
Christion,Washington,"Southern University, Baton Rouge",https://gojagsports.com/images/2025/12/14/Christon_Washington.jpg?width=146,https://gojagsports.com/sports/track-and-field/roster/christion-washington/4880
Nizaiah,Carr,Marian University,https://muknights.com/images/2025/12/2/Nizaiah_Carr_TF25_3EaPn.JPG?width=300,https://muknights.com/sports/mens-track-and-field/roster/nizaiah-carr/13686
Sam,Arbaugh,St. Lawrence University,https://saintsathletics.com/images/2025/8/27/68.jpg?width=300,https://saintsathletics.com/sports/football/roster/sam-arbaugh/19445
Sarah,Moite,"California State University, San Bernardino",https://csusbathletics.com/images/2025/1/15/Moite_HS.jpg?width=300,https://csusbathletics.com/sports/softball/roster/sarah-moite/4405
Dylan,Mayhew,University of Indianapolis,https://athletics.uindy.edu/images/2025/2/6/Meyhew__Dylan.jpg?width=146,https://athletics.uindy.edu/sports/track-and-field/roster/dylan-mayhew/15620
Gavin,McLean,College of the Siskiyous,https://coseagles.com/sports/mbkb/2025-26/photos/0001/090A6308_-1-.jpg?max_width=510&max_height=600,https://coseagles.com/sports/mbkb/2025-26/bios/mclean_gavin_kpzb
Camden,Franjieh,California Lutheran University,https://clusports.com/images/2025/10/15/franijeh_camden_25.JPG?width=300,https://clusports.com/sports/mens-volleyball/roster/camden-franjieh/8305
Zion,Lawson,Georgia State University,https://d1qdi747ml35tg.cloudfront.net/images/2025/7/8/Lawson_Zion_cropped_2025_ol9IM.jpg?width=300,https://georgiastatesports.com/sports/football/roster/zion-lawson/7873
Sean,Robertson,Merrimack College,https://merrimackathletics.com/images/2025/8/26/Robertston-.jpg?width=300,https://merrimackathletics.com/sports/football/roster/sean-robertson/14532
Charlotte,Waldemar,Christopher Newport University,https://www.cnusports.com/images/2025/11/12/Charlotte-Waldemar.jpg?width=300,https://www.cnusports.com/sports/womens-track-and-field/roster/charlotte-waldemar/20892
Sowande,Mcwhite,West Virginia State University,https://wvsuyellowjackets.com/images/2025/9/3/FB25-71-McWhite.jpg?width=300,https://wvsuyellowjackets.com/sports/football/roster/sowande-mcwhite/4485
Robbie,Fisher,Nebraska Wesleyan University,https://nwusports.com/images/2025/11/3/8B6A9612.jpg?width=300,https://nwusports.com/sports/wrestling/roster/robbie-fisher/10448
Lloyd,French,"California State University, Stanislaus",https://warriorathletics.com/images/2025/10/11/french_t3yCs.png?width=300,https://warriorathletics.com/sports/mens-basketball/roster/lloyd-french/8523
Yasmine,Morgan,Frank Phillips College,https://plainsmensports.com/images/morgan_new_pic_.jpg?max_width=510&max_height=600,https://plainsmensports.com/sports/sball/2025-26/bios/morgan_yasmine_9isz
Kellan,Hudson,Winthrop University,https://winthropeagles.com/images/2025/10/9/25-26_WLAX_Headshots_26.jpg?width=300,https://winthropeagles.com/sports/womens-lacrosse/roster/kellan-hudson/7909
Adrian,Wynn,Western Illinois University,https://goleathernecks.com/images/2024/8/8/Adrian_Wynn.jpg?width=300,https://goleathernecks.com/sports/football/roster/adrian-wynn/21895
Greyson,Ervin,Tusculum University,https://www.tusculumpioneers.com/images/setup/headshot_default.jpg?max_width=600&max_height=800,https://www.tusculumpioneers.com/sports/mvball/2025-26/bios/ervin_greyson_4bhg
Nebi,Young,Columbia College (South Carolina),https://www.gokoalas.com/sports/mtrack-out/2025-26/nebi_ad_hoc.jpg?max_width=510&max_height=600,https://www.gokoalas.com/sports/mtrack-out/2025-26/Bios/young_nebi_yghn
Carson,Hein,Grand Valley State University,https://gvsulakers.com/images/2025/8/4/Hein__Carson.jpg?width=146,https://gvsulakers.com/sports/football/roster/carson-hein/17404
Jada,Covington,Brenau University,https://brenautigers.com/sports/wbkb/2025-26/bios/BU109905_081725_Athletics_Headshots_SC_036_ad_hoc.jpg?max_width=510&max_height=600,https://brenautigers.com/sports/wtrack-out/2025-26/Bios/covington_jada_77dj
Larry,Norrington,Iowa Lakes Community College,https://iowalakesathletics.com/sports/wrest/2024-25/photos/2024-10-10_ILLC_Fall9146.jpg?max_width=600&max_height=800,https://iowalakesathletics.com/sports/wrest/2025-26/bios/norrington_larry_8hno
Colson,Knott,Wofford College,https://woffordterriers.com/images/2025/11/11/2025_MTrack_HS_WEB_Knott_Colson_2025.jpg?width=300,https://woffordterriers.com/sports/mens-track-and-field/roster/colson-knott/9539
Isabella,Minervini,Towson University,https://towsontigers.com/images/2025/9/26/Isabella_Minervini.jpg?width=300,https://towsontigers.com/sports/womens-gymnastics/roster/isabella-minervini/24586
