firstName,lastName,schoolId,clubId,sport,campaign,imageUrl1,videoUrl1,thumbnailUrl1,instagramPermalink1,mediaType1,imageUrl2,videoUrl2,thumbnailUrl2,instagramPermalink2,mediaType2,imageUrl3,videoUrl3,thumbnailUrl3,instagramPermalink3,mediaType3
Trevor,Allen jr,6494c914e689be73b73cc242,64836e23781f959a50ffe653,Football,IG Story,,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767670768158-btktcn5blzu.mp4,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767670768159-ltiakcmu9r8.jpg,https://www.instagram.com/stories/_tj.4_/3803817978454882583,ig_story,,,,,,,,,,
Ashlyn,Kahre,6494c8e2e689be73b73cc07a,64de4972f2934e6039bef120,Women's Soccer,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767809424265-wx9hnmgmn3f.jpg,,,https://www.instagram.com/stories/ashlyn_kahre/3804981050532298123,ig_story,,,,,,,,,,
Cj,Gaffney,6494c8a9e689be73b73cbe6c,644959129720ee4a512d3e58,Men's Track and Field,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767814043016-s9oq7q37sgl.jpg,,,https://www.instagram.com/stories/im.cj4/3805019881414422015,ig_story,,,,,,,,,,
Evan,Fisher,6494c933e689be73b73cc363,64de4afcf2934e6039bf9c28,Baseball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767737409359-ojekvzzod3.jpg,,,https://www.instagram.com/stories/evan.fish80/3804376975167947808,ig_story,,,,,,,,,,
Isabella,Carlson,6560c02ee511a89bf40b42b4,6560c02ee511a89bf40b42b9,Women's Basketball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767834803438-s4wovy13tm.jpg,,,https://www.instagram.com/stories/izzybella.carlson/3805193955735583190,ig_story,,,,,,,,,,
Collin,Roelofs,6494c8f5e689be73b73cc12a,64de4a18f2934e6039bf3b67,Baseball,IG Story,,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767638789215-jjguc9x04j.mp4,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767638789217-ana1v4hyw4j.jpg,https://www.instagram.com/stories/croelofs_/3803551978069511413,ig_story,,,,,,,,,,
Lukas,Donahue,6494c901e689be73b73cc19a,646e67955ffa2c38e964aead,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767735117902-beigstyv9l.jpg,,,https://www.instagram.com/stories/lukasdonahue/3804357823412941095,ig_story,,,,,,,,,,
Jonni,Sanchez,6494c8f5e689be73b73cc128,63e50c0d7ceffcb125777e4a,Softball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767666506704-afo5awkjtne.jpg,,,https://www.instagram.com/stories/lanecollegesoftball/3803782252103296341,ig_story,,,,,,,,,,
Braden,Mounyo,6494c8d4e689be73b73cbff7,64de4907f2934e6039bec3e3,Men's Track and Field,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767740443684-0gob9wm5051p.jpg,,,https://www.instagram.com/stories/b.mounyo/3804402444458084768,ig_story,,,,,,,,,,
TJ,Williams,6494c8d4e689be73b73cbff5,64d3e86c7d91140abe420e9b,Baseball,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767743592569-frhipcz34yo.jpg,,,https://www.instagram.com/stories/tj.williams01/3804428771668050131,ig_story,,,,,,,,,,
Ryan,Reese,6494c8aee689be73b73cbe95,64526a1927d9ecfcd2409ca2,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767825737007-kjh14wqozxn.jpg,,,https://www.instagram.com/stories/ryan.54.reese/3805117900202819540,ig_story,,,,,,,,,,
Elijah,Kinsler,6494c963e689be73b73cc514,6491f662bd692850e6c7f212,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767740627496-t9lnwwbur08.jpg,,,https://www.instagram.com/stories/kkinslerr/3804403995024926461,ig_story,,,,,,,,,,
